OrgSubmittingID,OrgProviderID,DeptCode,ServiceCode,CurrencyCode,EpisodeType,TotalActivity,TotalCost,Average_Cost,National_Average_Cost,Number_Trusts_Submitting
"BRK01","BRK01","DC","201","BZ44A","2","1","687.26000000","687.26000000","687.26000000","2"
"ORG01","ORG01","DC","201","BZ44A","2","1","687.26000000","687.26000000","687.26000000","2"
"ORG01","ORG01","EL","301","EY15A","3","1","68.50000000","68.50000000","68.50000000","2"
"BRK01","BRK01","EL","301","EY15A","3","1","68.50000000","68.50000000","68.50000000","2"
"BRK01","BRK01","NEL","501","YR43A","2","1","344.67000000","344.67000000","344.67000000","2"
"ORG01","ORG01","NEL","501","YR43A","2","1","344.67000000","344.67000000","344.67000000","2"
"ORG01","ORG01","NELTR","710","YR43A","2","1","372.86000000","372.86000000","358.99500000","2"
"BRK01","BRK01","NELTR","710","YR43A","2","2","717.99000000","358.99500000","358.99500000","2"
"ORG01","ORG02","NELTR","710","YR43A","2","1","345.13000000","345.13000000","358.99500000","2"
"ORG01","ORG01","NES","401","YR43A","4","1","43.39000000","43.39000000","43.39000000","2"
"BRK01","BRK01","NES","401","YR43A","4","1","43.39000000","43.39000000","43.39000000","2"
"ORG01","ORG01","NESTR","710","YR43A","2","1","686.93000000","686.93000000","686.93000000","2"
"BRK01","BRK01","NESTR","710","YR43A","2","1","686.93000000","686.93000000","686.93000000","2"
"BRK01","BRK01","RP","100","AA22C","1","1","577.12000000","577.12000000","577.12000000","2"
"ORG01","ORG01","RP","100","AA22C","1","1","577.12000000","577.12000000","577.12000000","2"
"ORG01","ORG02","RP","811","YR43A","2","1","871.54000000","871.54000000","871.54000000","2"
"BRK01","BRK01","RP","811","YR43A","2","1","871.54000000","871.54000000","871.54000000","2"
"BRK01","BRK01","RP","999","YR43A","1","2","1126.08000000","563.04000000","600.61666667","2"
"ORG01","ORG02","RP","999","YR43A","1","1","675.77000000","675.77000000","600.61666667","2"
"ORG01","ORG02","RP","999","YR43A","2","1","450.31000000","450.31000000","450.31000000","1"
