OrgSubmittingID,OrgProviderID,DeptCode,ServiceCode,CurrencyCode,EpisodeType,TotalActivity,TotalCost,Average_Cost,National_Average_Cost,Number_Trusts_Submitting
"ORG01","ORG01","EC","01","VB01Z","","2","795.58000000","397.79000000","578.69500000","2"
"BRK01","BRK01","EC","01","VB01Z","","3","1790.70000000","596.90000000","578.69500000","2"
"ORG01","ORG02","EC","01","VB01Z","","1","885.89000000","885.89000000","578.69500000","2"
"ORG01","ORG01","EC","02","UZ01Z","","1","126.54000000","126.54000000","492.14000000","2"
"BRK01","BRK01","EC","02","UZ01Z","","1","857.74000000","857.74000000","492.14000000","2"
"BRK01","BRK01","EC","02","VB03Z","","1","617.50000000","617.50000000","663.51500000","2"
"ORG01","ORG01","EC","02","VB03Z","","1","709.53000000","709.53000000","663.51500000","2"
"ORG01","ORG02","EC","02","VB11Z","","1","714.18000000","714.18000000","803.08500000","2"
"BRK01","BRK01","EC","02","VB11Z","","1","891.99000000","891.99000000","803.08500000","2"
"ORG01","ORG01","EC","03","VB07Z","","1","750.70000000","750.70000000","458.14500000","2"
"BRK01","BRK01","EC","03","VB07Z","","1","165.59000000","165.59000000","458.14500000","2"
"BRK01","BRK01","EC","04","VB11Z","","1","181.52000000","181.52000000","114.60000000","2"
"ORG01","ORG01","EC","04","VB11Z","","1","47.68000000","47.68000000","114.60000000","2"
"BRK01","BRK01","EC","07","VB03Z","","1","962.12000000","962.12000000","554.22000000","2"
"ORG01","ORG02","EC","07","VB03Z","","1","146.32000000","146.32000000","554.22000000","2"
"BRK01","BRK01","EC","08","VB07Z","","1","581.10000000","581.10000000","521.88500000","2"
"ORG01","ORG02","EC","08","VB07Z","","1","462.67000000","462.67000000","521.88500000","2"
