OrgSubmittingID,OrgProviderID,DeptCode,ServiceCode,CurrencyCode,EpisodeType,TotalActivity,TotalCost,Average_Cost,National_Average_Cost,Number_Trusts_Submitting
"ORG01","ORG01","CL","100","WF01A","","1","969.29000000","969.29000000","969.29000000","2"
"BRK01","BRK01","CL","100","WF01A","","1","969.29000000","969.29000000","969.29000000","2"
"ORG01","ORG01","NCL","201","BZ51B","","1","716.76000000","716.76000000","716.76000000","2"
"BRK01","BRK01","NCL","201","BZ51B","","1","716.76000000","716.76000000","716.76000000","2"
"BRK01","BRK01","NCL","301","BZ51B","","1","685.87000000","685.87000000","685.87000000","2"
"ORG01","ORG01","NCL","301","BZ51B","","1","685.87000000","685.87000000","685.87000000","2"
"ORG01","ORG01","NCL","501","AB26Z","","1","592.90000000","592.90000000","592.90000000","2"
"BRK01","BRK01","NCL","501","AB26Z","","1","592.90000000","592.90000000","592.90000000","2"
"ORG01","ORG02","NCL","501","CA51B","","2","1229.20000000","614.60000000","614.60000000","2"
"BRK01","BRK01","NCL","501","CA51B","","2","1229.20000000","614.60000000","614.60000000","2"
"BRK01","BRK01","OPROC","401","BZ51B","","1","723.02000000","723.02000000","723.02000000","2"
"ORG01","ORG01","OPROC","401","BZ51B","","1","723.02000000","723.02000000","723.02000000","2"
"BRK01","BRK01","OPROC","811","CA51B","","1","510.63000000","510.63000000","510.63000000","2"
"ORG01","ORG02","OPROC","811","CA51B","","1","510.63000000","510.63000000","510.63000000","2"
"BRK01","BRK01","OPROC","999","CA51B","","2","1083.00000000","541.50000000","541.50000000","2"
"ORG01","ORG02","OPROC","999","CA51B","","2","1083.00000000","541.50000000","541.50000000","2"
