OrgSubmittingID,OrgProviderID,DeptCode,ServiceCode,CurrencyCode,EpisodeType,TotalActivity,TotalCost,Average_Cost,National_Average_Cost,Number_Trusts_Submitting
"BRK01","BRK01","ACC","1","XA01Z","1","2","1022.86000000","511.43000000","398.37500000","2"
"ORG01","OR1","ACC","1","XA01Z","1","2","869.37000000","434.68500000","398.37500000","2"
"ORG01","ORG02","ACC","1","XA01Z","1","1","202.90000000","202.90000000","398.37500000","2"
"ORG01","ORG01","ACC","1","XA01Z","1","1","295.12000000","295.12000000","398.37500000","2"
"ORG01","OR1","NCC","27","UZ01Z","4","1","891.87000000","891.87000000","521.31500000","2"
"ORG01","ORG02","NCC","27","UZ01Z","4","1","131.06000000","131.06000000","521.31500000","2"
"ORG01","OR2","NCC","27","UZ01Z","4","1","250.15000000","250.15000000","521.31500000","2"
"BRK01","BRK01","NCC","27","UZ01Z","4","2","1626.57000000","813.28500000","521.31500000","2"
"ORG01","ORG01","NCC","27","UZ01Z","4","1","228.24000000","228.24000000","521.31500000","2"
"BRK01","BRK01","NCC","90","XC01Z","3","2","214.53000000","107.26500000","512.78000000","2"
"ORG01","OR2","NCC","90","XC01Z","3","1","902.38000000","902.38000000","512.78000000","2"
"ORG01","ORG02","NCC","90","XC01Z","3","1","865.60000000","865.60000000","512.78000000","2"
"ORG01","OR1","NCC","90","XC01Z","3","1","816.84000000","816.84000000","512.78000000","2"
"ORG01","ORG01","NCC","90","XC01Z","3","1","277.33000000","277.33000000","512.78000000","2"
"ORG01","OR2","PCC","11","XB01Z","2","1","360.21000000","360.21000000","485.37666667","2"
"ORG01","ORG02","PCC","11","XB01Z","2","1","788.62000000","788.62000000","485.37666667","2"
"ORG01","OR1","PCC","11","XB01Z","2","1","665.13000000","665.13000000","485.37666667","2"
"BRK01","BRK01","PCC","11","XB01Z","2","2","175.81000000","87.90500000","485.37666667","2"
"ORG01","ORG01","PCC","11","XB01Z","2","1","922.49000000","922.49000000","485.37666667","2"
"ORG01","OR2","PCC","92","XC06Z","4","1","732.37000000","732.37000000","670.29666667","2"
"ORG01","ORG02","PCC","92","XC06Z","4","1","933.61000000","933.61000000","670.29666667","2"
"BRK01","BRK01","PCC","92","XC06Z","4","2","543.20000000","271.60000000","670.29666667","2"
"ORG01","OR1","PCC","92","XC06Z","4","1","940.93000000","940.93000000","670.29666667","2"
"ORG01","ORG01","PCC","92","XC06Z","4","1","871.67000000","871.67000000","670.29666667","2"
