OrgSubmissionID,CostRowID,ActivityRowID,OrganisationID,CollectionActivityID,CollectionActivityCnt,CollectionResourceID,TotalCost,FinancialYearStartDate
"00000001","1","1","RRK","DIM006","1953","CPF017","710.96000000","2021-04-01"
"00000001","2","2","RRK","THR002","8328","CSC006","825.65000000","2021-04-01"
"00000001","3","2","RRK","THR002","8328","CSC006","156.97000000","2021-04-01"
"00000001","4","3","RRK","DIM005","2227","CPF002","709.02000000","2021-04-01"
"00000001","5","3","RRK","DIM005","2227","CPF022","299.88000000","2021-04-01"
"00000001","6","3","RRK","PAT004","8111","CPF011","687.17000000","2021-04-01"
"00000001","7","3","RRK","PAT004","8111","CPF011","204.38000000","2021-04-01"
"00000001","8","4","RRK","OUT001","5765","CPF017","486.74000000","2021-04-01"
"00000001","9","4","RRK","OUT001","5765","CPF022","796.59000000","2021-04-01"
"00000001","10","4","RRK","OUT001","5765","CPF023","29.85000000","2021-04-01"
"00000001","11","4","RRK","OUT001","5765","CPF030","718.20000000","2021-04-01"
"00000001","12","4","RRK","ODT002","279","CPF001","470.10000000","2021-04-01"
"00000001","13","4","RRK","ODT002","279","CPF032","767.45000000","2021-04-01"
"00000001","14","4","RRK","ODT002","279","CPF031","73.26000000","2021-04-01"
"00000001","15","4","RRK","DIM006","2337","CPF002","713.07000000","2021-04-01"
"00000001","16","4","RRK","DIM006","2337","CPF005","725.33000000","2021-04-01"
"00000001","17","5","RRK","DEV001","39","CPF030","616.68000000","2021-04-01"
"00000001","18","5","RRK","DEV001","39","CPF002","679.10000000","2021-04-01"
"00000001","19","5","RRK","DEV001","39","CSC004","519.44000000","2021-04-01"
"00000001","20","5","RRK","OUT006","2425","CPF030","498.26000000","2021-04-01"
"00000001","21","5","RRK","OUT006","2425","CSC008","399.86000000","2021-04-01"
"00000001","22","5","RRK","OUT006","2425","CPF001","399.16000000","2021-04-01"
"00000001","23","6","RRK","PHA006","3586","CSC004","160.28000000","2021-04-01"
"00000001","24","6","RRK","PHA006","3586","CPF032","21.17000000","2021-04-01"
"00000001","25","6","RRK","OUT003","1139","CPF005","738.33000000","2021-04-01"
"00000001","26","6","RRK","OUT003","1139","CPF029","738.85000000","2021-04-01"
"00000001","27","6","RRK","OUT003","1139","CPF002","60.36000000","2021-04-01"
"00000001","28","6","RRK","OUT003","1139","CPF024","72.22000000","2021-04-01"
"00000001","29","6","RRK","DIM003","7149","CPF011","151.63000000","2021-04-01"
"00000001","30","6","RRK","DIM003","7149","CPF011","132.67000000","2021-04-01"
"00000001","31","6","RRK","DIM003","7149","CPF031","837.02000000","2021-04-01"
"00000001","32","7","RRK","MDT001","8368","CPF002","651.18000000","2021-04-01"
"00000001","33","7","RRK","ODT008","5166","CPF023","733.54000000","2021-04-01"
"00000001","34","7","RRK","ODT008","5166","CSC008","836.54000000","2021-04-01"
"00000001","35","7","RRK","ODT008","5166","CPF024","37.77000000","2021-04-01"
