OrgSubmissionID,CostRowID,ActivityRowID,OrganisationID,CollectionActivityID,CollectionActivityCnt,CollectionResourceID,TotalCost,FinancialYearStartDate
"00000001","1","1","ORG01","OUT004","5282","CSC006","229.00000000","2021-04-01"
"00000001","2","1","ORG01","OUT004","5282","CPF032","748.06000000","2021-04-01"
"00000001","3","2","ORG01","PAT003","4916","CPF032","138.88000000","2021-04-01"
"00000001","4","2","ORG01","PAT003","4916","CSC005","461.94000000","2021-04-01"
"00000001","5","2","ORG01","PAT003","4916","CSC006","779.07000000","2021-04-01"
"00000001","6","2","ORG01","PAT003","4916","CPF005","813.41000000","2021-04-01"
"00000001","7","2","ORG01","OUT001","4488","CPF030","149.89000000","2021-04-01"
"00000001","8","2","ORG01","OUT001","4488","CPF005","970.25000000","2021-04-01"
"00000001","9","2","ORG01","DEV001","7201","CPF022","133.99000000","2021-04-01"
"00000001","10","2","ORG01","DEV001","7201","CPF032","184.61000000","2021-04-01"
"00000001","11","3","ORG01","DIM003","6479","CPF002","93.50000000","2021-04-01"
"00000001","12","3","ORG01","DIM003","6479","CPF005","966.81000000","2021-04-01"
"00000001","13","3","ORG01","DIM003","6479","CPF030","823.88000000","2021-04-01"
"00000001","14","4","ORG01","PAT003","4910","CPF001","118.19000000","2021-04-01"
"00000001","15","4","ORG01","PAT003","4910","CPF005","136.56000000","2021-04-01"
"00000001","16","4","ORG01","PHA005","102","CSC006","745.02000000","2021-04-01"
"00000001","17","4","ORG01","PHA005","102","CPF023","990.55000000","2021-04-01"
"00000001","18","4","ORG01","PHA005","102","CPF029","437.31000000","2021-04-01"
"00000001","19","4","ORG01","PHA005","102","CPF002","813.97000000","2021-04-01"
"00000001","20","4","ORG01","BLD002","9559","CPF022","564.60000000","2021-04-01"
"00000001","21","5","ORG01","PHA005","6404","CPF029","448.84000000","2021-04-01"
"00000001","22","5","ORG01","PHA005","6404","CPF017","129.82000000","2021-04-01"
"00000001","23","6","ORG01","DEV001","2705","CPF011","390.33000000","2021-04-01"
"00000001","24","6","ORG01","DEV001","2705","CPF002","344.87000000","2021-04-01"
"00000001","25","6","ORG01","DEV001","2705","CPF024","543.20000000","2021-04-01"
"00000001","26","6","ORG01","PHA007","2125","CPF023","836.00000000","2021-04-01"
"00000001","27","6","ORG01","PHA007","2125","CSC005","848.38000000","2021-04-01"
"00000001","28","6","ORG01","PHA007","2125","CSC004","124.76000000","2021-04-01"
"00000001","29","6","ORG01","PHA007","2125","CPF032","878.92000000","2021-04-01"
"00000001","30","6","ORG01","PAT005","3159","CPF032","823.37000000","2021-04-01"
"00000001","31","6","ORG01","PAT005","3159","CPF029","179.76000000","2021-04-01"
"00000001","32","7","ORG01","WRD001","4680","CSC004","964.33000000","2021-04-01"
"00000001","33","7","ORG01","WRD001","4680","CPF001","984.16000000","2021-04-01"
"00000001","34","7","ORG01","WRD001","4680","CPF030","176.98000000","2021-04-01"
"00000001","35","7","ORG01","WRD001","4680","CPF017","871.26000000","2021-04-01"
"00000001","36","7","ORG01","PAT002","8570","CPF002","28.50000000","2021-04-01"
"00000001","37","7","ORG01","PAT002","8570","CPF002","467.03000000","2021-04-01"
"00000001","38","7","ORG01","PAT002","8570","CPF022","898.50000000","2021-04-01"
"00000001","39","8","ORG01","SPS001","469","CPF005","769.10000000","2021-04-01"
"00000001","40","9","ORG01","MDT001","5089","CPF017","665.57000000","2021-04-01"
"00000001","41","9","ORG01","MDT001","5089","CPF030","740.70000000","2021-04-01"
"00000001","42","9","ORG01","MDT001","5089","CPF022","239.35000000","2021-04-01"
"00000001","43","9","ORG01","MDT001","5089","CSC008","217.58000000","2021-04-01"
"00000001","44","10","ORG01","ODT006","7594","CPF011","917.88000000","2021-04-01"
"00000001","45","10","ORG01","ODT006","7594","CPF022","573.17000000","2021-04-01"
"00000001","46","10","ORG01","ODT006","7594","CPF031","471.96000000","2021-04-01"
