OrgSubmissionID,CostRowID,ActivityRowID,OrganisationID,CollectionActivityID,CollectionActivityCnt,CollectionResourceID,TotalCost,FinancialYearStartDate
"00000002","1","1","RRK","MDT001","5050","CPF010","379.52000000","2021-04-01"
"00000002","2","1","RRK","MDT001","7338","CPF011","859.43000000","2021-04-01"
"00000002","3","2","RRK","BLD003","7811","CPF017","183.43000000","2021-04-01"
"00000002","4","2","RRK","BLD002","5512","CPF005","938.75000000","2021-04-01"
"00000002","5","2","RRK","BLD002","5512","CPF005","100.86000000","2021-04-01"
"00000002","6","2","RRK","BLD002","5512","CPF024","441.46000000","2021-04-01"
"00000002","7","3","RRK","PAT005","3679","CPF005","153.97000000","2021-04-01"
"00000002","8","3","RRK","PAT005","3679","CPF023","284.90000000","2021-04-01"
"00000002","9","3","RRK","PAT005","3679","CPF002","372.12000000","2021-04-01"
"00000002","10","3","RRK","DIM004","2817","CPF031","136.30000000","2021-04-01"
"00000002","11","3","RRK","DIM004","2817","CPF029","468.31000000","2021-04-01"
"00000002","12","3","RRK","COM001","7721","CPF002","198.17000000","2021-04-01"
"00000002","13","4","RRK","GRP001","7176","CPF029","535.10000000","2021-04-01"
"00000002","14","4","RRK","GRP001","7176","CPF011","45.74000000","2021-04-01"
"00000002","15","4","RRK","GRP001","7176","CPF017","600.78000000","2021-04-01"
"00000002","16","5","RRK","DIM002","7644","CPF005","441.33000000","2021-04-01"
"00000002","17","5","RRK","SPS004","7464","CPF005","896.92000000","2021-04-01"
"00000002","18","5","RRK","SPS004","7464","CSC004","347.87000000","2021-04-01"
"00000002","19","5","RRK","SPS004","7464","CSC006","299.26000000","2021-04-01"
"00000002","20","5","RRK","SPS004","7464","CPF005","124.20000000","2021-04-01"
"00000002","21","5","RRK","PAT001","1302","CPF023","346.48000000","2021-04-01"
"00000002","22","5","RRK","PAT001","1302","CSC008","879.41000000","2021-04-01"
"00000002","23","6","RRK","PAT001","7631","CPF002","784.46000000","2021-04-01"
"00000002","24","6","RRK","PAT001","7631","CPF010","437.80000000","2021-04-01"
"00000002","25","6","RRK","PAT001","7631","CPF005","987.62000000","2021-04-01"
"00000002","26","6","RRK","PAT001","7631","CPF032","773.83000000","2021-04-01"
"00000002","27","6","RRK","SPS001","9580","CPF005","832.17000000","2021-04-01"
"00000002","28","6","RRK","SPS001","9580","CPF024","644.90000000","2021-04-01"
"00000002","29","6","RRK","SPS001","9580","CPF017","719.56000000","2021-04-01"
"00000002","30","6","RRK","SPS001","9580","CPF005","417.79000000","2021-04-01"
"00000002","31","6","RRK","SPS004","3861","CPF029","536.58000000","2021-04-01"
"00000002","32","6","RRK","SPS004","3861","CPF031","359.78000000","2021-04-01"
"00000002","33","7","RRK","PAT007","4157","CPF010","717.99000000","2021-04-01"
"00000002","34","7","RRK","PAT007","4157","CPF017","800.23000000","2021-04-01"
"00000002","35","7","RRK","PAT007","4157","CPF002","593.01000000","2021-04-01"
"00000002","36","8","RRK","PHA007","3295","CSC006","763.00000000","2021-04-01"
"00000002","37","8","RRK","PAT004","8994","CPF023","722.96000000","2021-04-01"
"00000002","38","8","RRK","PAT004","8994","CPF029","787.90000000","2021-04-01"
"00000002","39","8","RRK","PAT004","8994","CPF024","525.58000000","2021-04-01"
"00000002","40","8","RRK","PAT004","8994","CPF011","462.00000000","2021-04-01"
"00000002","41","8","RRK","ODT006","3408","CPF022","591.48000000","2021-04-01"
"00000002","42","9","RRK","DIM005","1177","CSC005","903.01000000","2021-04-01"
"00000002","43","9","RRK","DIM005","1177","CPF032","780.35000000","2021-04-01"
"00000002","44","9","RRK","SPS001","9241","CPF011","660.15000000","2021-04-01"
"00000002","45","9","RRK","SPS001","9241","CPF024","81.57000000","2021-04-01"
"00000002","46","9","RRK","OUT006","4428","CPF017","577.25000000","2021-04-01"
"00000002","47","10","RRK","WRD001","8792","CPF024","611.58000000","2021-04-01"
"00000002","48","10","RRK","THR003","3991","CPF005","639.98000000","2021-04-01"
"00000002","49","10","RRK","MDT001","3441","CPF011","192.05000000","2021-04-01"
"00000002","50","10","RRK","MDT001","3441","CPF029","91.90000000","2021-04-01"
"00000002","51","10","RRK","MDT001","3441","CPF030","71.98000000","2021-04-01"
"00000002","52","11","RRK","PAT006","7075","CPF022","407.50000000","2021-04-01"
"00000002","53","11","RRK","PAT006","7075","CPF022","229.81000000","2021-04-01"
"00000002","54","11","RRK","PAT006","7075","CSC006","241.68000000","2021-04-01"
"00000002","55","11","RRK","DIM004","6522","CPF017","563.73000000","2021-04-01"
"00000002","56","11","RRK","DIM004","6522","CPF011","211.21000000","2021-04-01"
"00000002","57","11","RRK","ODT007","4169","CPF005","517.24000000","2021-04-01"
"00000002","58","11","RRK","ODT007","4169","CPF010","749.18000000","2021-04-01"
"00000002","59","11","RRK","ODT007","4169","CPF024","810.50000000","2021-04-01"
"00000002","60","11","RRK","ODT007","4169","CPF010","515.54000000","2021-04-01"
"00000002","61","12","RRK","PAT006","155","CPF032","364.55000000","2021-04-01"
"00000002","62","12","RRK","PAT006","155","CPF023","735.38000000","2021-04-01"
"00000002","63","12","RRK","PAT006","155","CPF017","836.79000000","2021-04-01"
"00000002","64","12","RRK","PAT006","155","CPF031","710.82000000","2021-04-01"
"00000002","65","12","RRK","PAT002","4406","CPF024","142.81000000","2021-04-01"
"00000002","66","12","RRK","PAT002","4406","CPF032","231.51000000","2021-04-01"
"00000002","67","13","RRK","MDT001","3173","CPF023","247.72000000","2021-04-01"
"00000002","68","13","RRK","MDT001","3173","CPF001","238.75000000","2021-04-01"
"00000002","69","13","RRK","MDT001","3173","CPF023","990.69000000","2021-04-01"
"00000002","70","14","RRK","PHA003","1225","CSC004","830.79000000","2021-04-01"
"00000002","71","14","RRK","PHA003","1225","CPF031","532.06000000","2021-04-01"
"00000002","72","14","RRK","PHA003","1225","CSC004","1.76000000","2021-04-01"
"00000002","73","14","RRK","PHA003","1225","CPF031","274.01000000","2021-04-01"
"00000002","74","14","RRK","BLD003","9640","CPF005","285.86000000","2021-04-01"
"00000002","75","14","RRK","BLD003","9640","CPF005","375.94000000","2021-04-01"
"00000002","76","14","RRK","DIM003","1535","CSC006","290.74000000","2021-04-01"
"00000002","77","14","RRK","DIM003","1535","CPF002","379.89000000","2021-04-01"
"00000002","78","14","RRK","DIM003","1535","CPF010","326.80000000","2021-04-01"
"00000002","79","14","RRK","DIM003","1535","CPF024","652.03000000","2021-04-01"
"00000002","80","15","RRK","PAT006","3656","CPF010","397.67000000","2021-04-01"
"00000002","81","15","RRK","ODT005","4151","CPF005","300.53000000","2021-04-01"
"00000002","82","15","RRK","ODT005","4151","CPF017","174.34000000","2021-04-01"
"00000002","83","16","RRK","OUT002","496","CPF001","948.48000000","2021-04-01"
"00000002","84","16","RRK","OUT002","496","CSC004","695.35000000","2021-04-01"
"00000002","85","16","RRK","COM002","5292","CPF030","57.28000000","2021-04-01"
"00000002","86","16","RRK","DIM005","2730","CSC004","509.28000000","2021-04-01"
"00000002","87","16","RRK","DIM005","2730","CPF029","346.64000000","2021-04-01"
"00000002","88","17","RRK","BLD001","5963","CSC006","364.45000000","2021-04-01"
"00000002","89","17","RRK","BLD001","5963","CPF029","552.65000000","2021-04-01"
"00000002","90","17","RRK","BLD001","5963","CPF001","949.49000000","2021-04-01"
"00000002","91","17","RRK","BLD001","5963","CPF005","617.51000000","2021-04-01"
"00000002","92","17","RRK","COM002","1534","CPF017","946.53000000","2021-04-01"
"00000002","93","17","RRK","COM002","1534","CPF010","669.93000000","2021-04-01"
"00000002","94","17","RRK","COM002","1534","CPF023","195.44000000","2021-04-01"
"00000002","95","17","RRK","DIM006","8220","CPF010","785.41000000","2021-04-01"
"00000002","96","17","RRK","DIM006","8220","CPF023","875.47000000","2021-04-01"
"00000002","97","17","RRK","DIM006","8220","CPF031","270.37000000","2021-04-01"
"00000002","98","18","RRK","DIM004","3803","CSC004","856.50000000","2021-04-01"
"00000002","99","18","RRK","DIM004","3803","CPF030","734.05000000","2021-04-01"
"00000002","100","18","RRK","DIM004","3803","CPF023","32.63000000","2021-04-01"
"00000002","101","18","RRK","DIM004","3803","CPF023","921.55000000","2021-04-01"
"00000002","102","18","RRK","MDT001","6837","CPF011","201.46000000","2021-04-01"
"00000002","103","18","RRK","MDT001","6837","CPF001","210.38000000","2021-04-01"
"00000002","104","18","RRK","MDT001","6837","CPF005","813.99000000","2021-04-01"
"00000002","105","18","RRK","MDT001","6837","CPF029","627.27000000","2021-04-01"
"00000002","106","19","RRK","ODT007","5416","CPF024","217.28000000","2021-04-01"
"00000002","107","19","RRK","ODT003","3294","CPF029","540.32000000","2021-04-01"
"00000002","108","19","RRK","ODT003","3294","CSC006","891.72000000","2021-04-01"
"00000002","109","19","RRK","DIM005","2655","CPF002","519.15000000","2021-04-01"
"00000002","110","19","RRK","DIM005","2655","CPF022","797.96000000","2021-04-01"
"00000002","111","19","RRK","DIM005","2655","CSC005","584.36000000","2021-04-01"
"00000002","112","20","RRK","SPS001","4493","CPF005","236.94000000","2021-04-01"
"00000002","113","20","RRK","SPS001","4493","CPF032","562.63000000","2021-04-01"
"00000002","114","20","RRK","SPS001","4493","CPF005","914.17000000","2021-04-01"
"00000002","115","20","RRK","THR003","2171","CSC004","882.04000000","2021-04-01"
"00000002","116","20","RRK","OUT002","2638","CPF024","126.74000000","2021-04-01"
"00000002","117","20","RRK","OUT002","2638","CPF022","669.90000000","2021-04-01"
