OrgSubmissionID,CostRowID,ActivityRowID,OrganisationID,CollectionActivityID,CollectionActivityCnt,CollectionResourceID,TotalCost,FinancialYearStartDate
"00000003","1","1","RRK","PAT002","2787","CPF011","670.54000000","2021-04-01"
"00000003","2","1","RRK","PAT002","2787","CPF005","509.79000000","2021-04-01"
"00000003","3","2","RRK","COM001","2994","CSC004","182.97000000","2021-04-01"
"00000003","4","2","RRK","COM001","2994","CPF002","253.16000000","2021-04-01"
"00000003","5","2","RRK","COM001","2994","CPF010","261.76000000","2021-04-01"
"00000003","6","2","RRK","GRP001","5999","CPF023","98.98000000","2021-04-01"
"00000003","7","2","RRK","GRP001","5999","CPF010","977.82000000","2021-04-01"
"00000003","8","2","RRK","GRP001","5999","CPF001","538.82000000","2021-04-01"
"00000003","9","3","RRK","COM001","5759","CPF024","571.87000000","2021-04-01"
"00000003","10","3","RRK","COM001","5759","CSC005","932.51000000","2021-04-01"
"00000003","11","3","RRK","COM001","5759","CPF011","243.87000000","2021-04-01"
"00000003","12","3","RRK","PHA006","1920","CPF029","84.89000000","2021-04-01"
"00000003","13","4","RRK","PAT003","1848","CPF022","586.16000000","2021-04-01"
"00000003","14","4","RRK","THR003","1479","CPF002","383.42000000","2021-04-01"
"00000003","15","4","RRK","THR003","1479","CSC006","193.81000000","2021-04-01"
"00000003","16","4","RRK","THR003","1479","CPF031","918.59000000","2021-04-01"
"00000003","17","4","RRK","THR003","1479","CPF024","952.30000000","2021-04-01"
"00000003","18","5","RRK","DIM006","1339","CPF031","678.48000000","2021-04-01"
"00000003","19","6","RRK","SPS003","2314","CPF031","264.31000000","2021-04-01"
"00000003","20","6","RRK","SPS003","2314","CPF017","786.89000000","2021-04-01"
"00000003","21","6","RRK","SPS003","2314","CPF022","408.55000000","2021-04-01"
"00000003","22","6","RRK","SPS003","2314","CPF010","584.25000000","2021-04-01"
"00000003","23","7","RRK","PAT001","2267","CSC006","469.50000000","2021-04-01"
"00000003","24","7","RRK","PAT001","2267","CSC004","818.58000000","2021-04-01"
