OrgSubmissionID,CostRowID,ActivityRowID,OrganisationID,CollectionActivityID,CollectionActivityCnt,CollectionResourceID,TotalCost,FinancialYearStartDate
"00000005","1","1","RRK","PAT006","390","CPF024","926.26000000","2021-04-01"
"00000005","2","1","RRK","PAT006","390","CPF024","829.04000000","2021-04-01"
"00000005","3","1","RRK","PAT006","390","CPF032","742.77000000","2021-04-01"
"00000005","4","1","RRK","PAT006","390","CSC008","563.82000000","2021-04-01"
"00000005","5","2","RRK","DIM011","1279","CPF001","732.62000000","2021-04-01"
"00000005","6","3","RRK","PAT007","5786","CSC006","509.47000000","2021-04-01"
"00000005","7","3","RRK","PAT007","5786","CPF022","536.43000000","2021-04-01"
"00000005","8","3","RRK","PHA007","4979","CPF032","464.88000000","2021-04-01"
"00000005","9","3","RRK","COM001","1211","CPF023","609.08000000","2021-04-01"
"00000005","10","3","RRK","COM001","1211","CPF024","576.12000000","2021-04-01"
"00000005","11","4","RRK","PAT001","9863","CSC004","634.58000000","2021-04-01"
"00000005","12","4","RRK","PAT001","9863","CSC005","15.31000000","2021-04-01"
"00000005","13","4","RRK","PAT001","9863","CPF029","908.58000000","2021-04-01"
