OrgSubmissionID,CostRowID,ActivityRowID,OrganisationID,CollectionActivityID,CollectionActivityCnt,CollectionResourceID,TotalCost,FinancialYearStartDate
"00000001","1","1","BRK","BLD001","1","CPF001","10.00000000","2021-04-01"
"00000001","2","2","BRK01","CPF001","15","CPF003","505.23400000","2021-04-01"
"00000001","3","3","BRK01","CPF002","123456789012345680","CPF004","3102.00000000","2021-04-01"
"00000001","4","4","BRK01","CPF001","30","CPF005","923.97450000","2021-04-01"
"00000001","5","5","BRK01","CPF001","30","CPF006","101.32000000","2021-04-01"
"00000001","6","6","BRK01","CPF001","30","CPF007","768.00000000","2021-04-01"
"00000001","7","7","BRK01","CPF001","30","CPF008","490.56000000","2021-04-01"
"00000001","8","8","BRK01","CPF001","30","CPF009","89.26900000","2021-04-01"
"00000001","9","9","BRK01","CPF001","30","CPF010","89.26900000","2021-04-01"
"00000001","10","10","BRK1","DIM004","10","CPF002","1234567890.12345000","2021-04-01"
